# TEMPLATE PROGRAMMA — Grest 2026
# Compila le righe sotto. Non modificare le righe che iniziano con #
# SETTIMANE DISPONIBILI (usa il numero nella colonna settimana):
#   Settimana 1 (2026-06-09 → 2026-06-12)
#   Settimana 2 (2026-06-15 → 2026-06-19)
#   Settimana 3 (2026-06-22 → 2026-06-26)
#   Settimana 4 (2026-06-29 → 2026-07-03)
# SQUADRE DISPONIBILI (copia il nome esatto nella colonna squadra):
#   Arancioni
#   Azzurri
#   Blu
#   Fucsia
#   Gialli Grest
#   Grigi
#   Neri
#   Rosa antico
#   Rossi
#   Turchesi
#   Verdi Fluo
#   Verdi lime
#   Verdi oliva
#   Verdi scuro
#   Viola
# ATTIVITÀ DISPONIBILI (copia il nome esatto nella colonna attivita):
#   Accoglienza 🫂
#   Angelus 🙏
#   Attività in esterna 🎭
#   Compiti e studio 📚
#   Conclusione attività 👋
#   Giochi 🏀
#   Giochi sport 🏅
#   Gioco 🧩
#   Gita 🚀
#   Intrattenimento 🎉
#   Laboratorio 🥫
#   Laboratorio creativo 🎨
#   Merenda 🥨
#   Parco acquatico 🌊
#   Post-Oratorio 🌆
#   Pranzo - preghiera 🙏
#   pranzo - preghiera - tempo libero
#   Pre-oratorio 🍱
#   Tempo Libero 🆓
#   Uscita 📤
# Se l'attività non è presente verrà creata automaticamente
# GIORNI: Lunedi | Martedi | Mercoledi | Giovedi | Venerdi
squadra;settimana;giorno;attivita;ora_inizio;ora_fine;note
Azzurri;1;Mercoledi;Pre-oratorio 🍱;7:30;8:30;
Azzurri;1;Mercoledi;Accoglienza 🫂;8:30;9:30;
Azzurri;1;Mercoledi;Attività in esterna 🎭;9:30;10:30;
Azzurri;1;Mercoledi;Merenda 🥨;10:30;10:45;
Azzurri;1;Mercoledi;Attività in esterna 🎭;10:45;11:30;
Azzurri;1;Mercoledi;Angelus 🙏;11:35;11:40;
Azzurri;1;Mercoledi;pranzo - preghiera - tempo libero;11:45;14:05;
Azzurri;1;Mercoledi;Gioco 🧩;15:00;16:00;
Azzurri;1;Mercoledi;Merenda 🥨;16:00;16:25;
Azzurri;1;Mercoledi;Conclusione attività 👋;16:30;17:00;
Azzurri;1;Mercoledi;Uscita 📤;17:00;17:15;
Azzurri;1;Mercoledi;Post-Oratorio 🌆;17:15;18:00;
Azzurri;1;Giovedi;Pre-oratorio 🍱;7:30;8:30;
Azzurri;1;Giovedi;Accoglienza 🫂;8:30;9:30;
Azzurri;1;Giovedi;Gioco 🧩;9:30;10:30;
Azzurri;1;Giovedi;Merenda 🥨;10:30;10:45;
Azzurri;1;Giovedi;Compiti e studio 📚;10:50;11:30;
Azzurri;1;Giovedi;Angelus 🙏;11:35;11:40;
Azzurri;1;Giovedi;pranzo - preghiera - tempo libero;11:45;14:05;
Azzurri;1;Giovedi;Gioco 🧩;15:00;16:00;
Azzurri;1;Giovedi;Merenda 🥨;16:00;16:25;
Azzurri;1;Giovedi;Conclusione attività 👋;16:30;17:00;
Azzurri;1;Giovedi;Uscita 📤;17:00;17:15;
Azzurri;1;Giovedi;Post-Oratorio 🌆;17:15;18:00;
Azzurri;1;Venerdi;Pre-oratorio 🍱;7:30;8:30;
Azzurri;1;Venerdi;Accoglienza 🫂;8:30;9:30;
Azzurri;1;Venerdi;Parco acquatico 🌊;9:30;10:30;
Azzurri;1;Venerdi;Merenda 🥨;10:30;10:45;
Azzurri;1;Venerdi;Parco acquatico 🌊;10:45;11:30;
Azzurri;1;Venerdi;Angelus 🙏;11:35;11:40;
Azzurri;1;Venerdi;pranzo - preghiera - tempo libero;11:45;14:05;
Azzurri;1;Venerdi;Gioco 🧩;15:00;16:00;
Azzurri;1;Venerdi;Merenda 🥨;16:00;16:25;
Azzurri;1;Venerdi;Conclusione attività 👋;16:30;17:00;
Azzurri;1;Venerdi;Uscita 📤;17:00;17:15;
Azzurri;1;Venerdi;Post-Oratorio 🌆;17:15;18:00;
Azzurri;2;Lunedi;Pre-oratorio 🍱;7:30;8:30;
Azzurri;2;Lunedi;Accoglienza 🫂;8:30;9:30;
Azzurri;2;Lunedi;Laboratorio 🥫;9:30;10:30;
